Q_IO0	1	B	Q_IO0_B	gge51
Q_IO0	2	E	CH_DTR_N	gge51
Q_IO0	3	C	ESP_IO0	gge51
R_BIAS_FB	1	1	BIAS_INV	gge165
R_BIAS_FB	2	2	BIAS_OUT_INT	gge165
R_BIAS_SER	1	1	BIAS_OUT_INT	gge130
R_BIAS_SER	2	2	A1_ELEC	gge130
R_CC1	1	1	USB_CC1	gge6
R_CC1	2	2	GND	gge6
R_CC2	1	1	USB_CC2	gge7
R_CC2	2	2	GND	gge7
R_CS_UP	1	1	ADS_CS_N	gge155
R_CS_UP	2	2	DVDD	gge155
R_DRDY_UP	1	1	ADS_DRDY_N	gge159
R_DRDY_UP	2	2	DVDD	gge159
R_EN_UP	1	1	VDD_ESP	gge44
R_EN_UP	2	2	ESP_EN	gge44
R_IN1N	1	1	SRB1	gge91
R_IN1N	2	2	IN1N	gge91
R_IN1P	1	1	FP1_ELEC	gge90
R_IN1P	2	2	IN1P	gge90
R_IN2N	1	1	SRB1	gge96
R_IN2N	2	2	IN2N	gge96
R_IN2P	1	1	FP2_ELEC	gge95
R_IN2P	2	2	IN2P	gge95
R_IN3N	1	1	SRB1	gge101
R_IN3N	2	2	IN3N	gge101
R_IN3P	1	1	CH3_ELEC	gge100
R_IN3P	2	2	IN3P	gge100
R_IN4N	1	1	ECGN_ELEC	gge106
R_IN4N	2	2	IN4N	gge106
R_IN4P	1	1	ECGP_ELEC	gge105
R_IN4P	2	2	IN4P	gge105
R_IN5N	1	1	SRB1	gge111
R_IN5N	2	2	IN5N	gge111
R_IN5P	1	1	CH5_ELEC	gge110
R_IN5P	2	2	IN5P	gge110
R_IN6N	1	1	SRB1	gge116
R_IN6N	2	2	IN6N	gge116
R_IN6P	1	1	CH6_ELEC	gge115
R_IN6P	2	2	IN6P	gge115
R_IN7N	1	1	SRB1	gge121
R_IN7N	2	2	IN7N	gge121
R_IN7P	1	1	CH7_ELEC	gge120
R_IN7P	2	2	IN7P	gge120
R_IN8N	1	1	SRB1	gge126
R_IN8N	2	2	IN8N	gge126
R_IN8P	1	1	CH8_ELEC	gge125
R_IN8P	2	2	IN8P	gge125
R_IO0_UP	1	1	VDD_ESP	gge46
R_IO0_UP	2	2	ESP_IO0	gge46
R_IO15_DN	1	1	ESP_IO15	gge47
R_IO15_DN	2	2	GND	gge47
R_IO2_DN	1	1	ESP_IO2	gge48
R_IO2_DN	2	2	GND	gge48
R_LED	1	1	STATUS_LED_DRV	gge53
R_LED	2	2	LED_A	gge53
R_MISO	1	1	ADS_DOUT_LOC	gge163
R_MISO	2	2	SPI_MISO	gge163
R_MOSI	1	1	ADS_DIN_LOC	gge162
R_MOSI	2	2	SPI_MOSI	gge162
R_PWDN_UP	1	1	ADS_PWDN_N	gge156
R_PWDN_UP	2	2	DVDD	gge156
R_Q_EN_B	1	1	CH_DTR_N	gge50
R_Q_EN_B	2	2	Q_EN_B	gge50
R_Q_IO0_B	1	1	CH_RTS_N	gge52
R_Q_IO0_B	2	2	Q_IO0_B	gge52
R_RST_UP	1	1	ADS_RESET_N	gge157
R_RST_UP	2	2	DVDD	gge157
R_SCLK	1	1	ADS_SCLK_LOC	gge161
R_SCLK	2	2	SPI_SCK	gge161
R_SRB_SER	1	1	SRB1	gge131
R_SRB_SER	2	2	A2_ELEC	gge131
R_START_DN	1	1	ADS_START	gge160
R_START_DN	2	2	GND	gge160
TLV70025	1	IN	V_PLDO_IN	gge15
TLV70025	2	GND	GND	gge15
TLV70025	3	EN	V_PLDO_IN	gge15
TLV70025	4	NC	NC	gge15
TLV70025	5	OUT	AVDD	gge15
TPS72325	1	GND	GND	gge22
TPS72325	2	IN	V_NLDO_IN	gge22
TPS72325	3	EN	V_NLDO_IN	gge22
TPS72325	4	NR/FB	TPS_NR	gge22
TPS72325	5	OUT	AVSS	gge22
U_ADS	1	IN8N	IN8N	gge132
U_ADS	10	IN4P	IN4P	gge132
U_ADS	11	IN3N	IN3N	gge132
U_ADS	12	IN3P	IN3P	gge132
U_ADS	13	IN2N	IN2N	gge132
U_ADS	14	IN2P	IN2P	gge132
U_ADS	15	IN1N	IN1N	gge132
U_ADS	16	IN1P	IN1P	gge132
U_ADS	17	SRB1	SRB1	gge132
U_ADS	18	SRB2	SRB1	gge132
